ちょっと,ちょっと,a little
丁度,ちょうど,exactly
大丈夫,だいじょうぶ,okay; alright
だんだん,だんだん,gradually
どう,どう,how; in what way; how about
どうも,どうも,thank you; thanks
どうして,どうして,why; for what reason
どうぞ,どうぞ,please
初めて,はじめて,for the first time
一番,いちばん,number one; first; first place; best; most
いかが,いかが,how; in what way; how about
いくら,いくら,how much; how many
いくつ,いくつ,how many; how old
色々,いろいろ,various
一緒に,いっしょに,together
いつも,いつも,always; usually; habitually
結構,けっこう,splendid; enough
まだ,まだ,still; not yet
まだ～ていません,まだ～ていません,have not yet ~
もっと,もっと,more; longer; further
もう,もう,already; anymore; again; other
同じ,おなじ,same
直ぐに,すぐに,immediately; right away; instantly
少し,すこし,a little (bit); small quantity; few; short distance
多分,たぶん,perhaps; probably
大変,たいへん,very; greatly; terribly; serious; difficult
時々,ときどき,sometimes; at times
とても,とても,very; awfully; exceedingly
よく,よく,often; well
ゆっくり,ゆっくり,slowly
