食べ物,たべもの,food
飲み物,のみもの,drink; beverage
朝ご飯,あさごはん,breakfast
昼ご飯,ひるごはん,lunch
晩ご飯,ばんごはん,dinner; evening meal
夕飯,ゆうはん,evening meal
コーヒー,コーヒー,coffee
紅茶,こうちゃ,black tea
お茶,おちゃ,tea
牛乳,ぎゅうにゅう,(cow's) milk
水,みず,water; liquid
お酒,おさけ,alcohol
野菜,やさい,vegetable
果物,くだもの,fruit
肉, にく,meat
豚肉,ぶたにく,pork
鶏肉, とりにく,chicken meat
牛肉,ぎゅうにく,beef
魚, さかな,fish
ご飯,ごはん,cooked rice; meal
カレー,カレー,curry
パン,パン,bread
お菓子,おかし,candy
飴,あめ,candy
砂糖,さとう,sugar
塩,しお,salt
卵,たまご,eggs
バター,バター,butter
醬油,しょうゆ,soy sauce
お皿,おさら,plate; dish
フォーク,フォーク,fork
ナイフ,ナイフ,knife
スプーン,スプーン,spoon
箸,はし,chopsticks
コップ,コップ,cup; glass; tumbler
茶碗,ちゃわん,rice bowl; teacup
料理,りょうり,cooking; cuisine
