向こう,むこう,over there
上,うえ,above; up; over; top; surface
下,した,below; down; under; bottom
後ろ,うしろ,back; behind; rear
中,なか,inside; in; within; center
横,よこ,beside; side; width
外,そと,outside; exterior;
そば,そば,near; beside
真っ直ぐ,まっすぐ,straight ahead; direct
こちら,こちら,this way; this direction;
前,まえ,previous; before; in front; ago
後,あと,behind; after; remainder; left; also
先,さき,previous; prior; first; earlier
ほか,ほか,other (place; thing; person); the rest
みんな,みんな,all; everyone; everybody
こっち,こっち,this person or way
隣,となり,next door to
右,みぎ,right; right hand side
左,ひだり,left; left hand side
北,きた,north
東,ひがし,east
南,みなみ,south
西,にし,west
次,つぎ,next
