朝,あさ,morning
昼,ひる,daytime; noon
夕方,ゆうがた,evening; dusk
夜,よる,evening; night
午前,ごぜん,a.m.
午後,ごご,p.m.
昨夜,さくや,last night
今朝,けさ,this morning
今晩,こんばん,tonight
一昨日,おととい,day before yesterday
昨日,きのう,yesterday
今日,きょう,today
明日,あした,tomorrow
明後日,あさって,day after tomorrow
先週,せんしゅう,last week
今週,こんしゅう,this week
来週,らいしゅう,next week
先月,せんげつ,last month
今月,こんげつ,this month
来月,らいげつ,next month
去年,きょねん,last year
今年,ことし,this year
来年,らいねん,next year
毎朝,まいあさ,every morning
毎日,まいにち,every day
毎晩,まいばん,every night
毎週,まいしゅう,every week
毎月,まいつき,every month
毎年,まいとし,every year
一日,いちにち,one day; all day
今,いま,now
時,とき,time; hour; occasion; moment
