切符,きっぷ,ticket
鍵,かぎ,key
映画,えいが,movie; film
絵,え,picture
フィルム,フィルム,film
ギター,ギター,guitar
ボタン,ボタン,button
鉛筆,えんぴつ,pencil
ボールペン,ボールペン,ball-point pen
電話,でんわ,telephone; phone call
封筒,ふうとう,envelope
箱,はこ,box; crate
葉書,はがき,postcard
灰皿,はいざら,ashtray
辞書,じしょ,dictionary
自転車,じてんしゃ,bicycle
かばん,かばん,bag; basket
花瓶,かびん,a vase
角,かど,corner; angle;
買い物,かいもの,shopping; purchased goods
ハンカチ,ハンカチ,handkerchief
本,ほん,book; script
カメラ,カメラ,camera
字引,じびき,dictionary
紙,かみ,paper
カレンダー,カレンダー,calendar
傘,かさ,umbrella
切手,きって,stamp (postage)
マッチ,マッチ,match
物,もの,thing
薬,くすり,medicine
コピー,コピー,copy; photocopy
ペン,ペン,pen
ペット,ペット,pet
石鹼,せっけん,soap
写真,しゃしん,photograph; photo
新聞,しんぶん,newspaper
たばこ,たばこ,tobacco; cigarette
手紙,てがみ,letter (message)
雑誌,ざっし,magazine
歌,うた,song
ポスト,ポスト,post
プール,プール,swimming pool
日記,にっき,diary; journal
スポーツ,スポーツ,sport; sports
ノート,ノート,notebook
お金,おかね,money
財布,さいふ,purse; wallet
音楽,おんがく,music
パーティー,パーティー,party
荷物,にもつ,luggage; baggage
ニュース,nyuusu,news
