会う,あう,meet
開ける,あける,open
あげる,あげる,give
遊ぶ,あそぶ,play
浴びる,あびる,bathe; shower
洗う,あらう,wash
ある,ある,be; exist (inanimate)
歩く,あるく,walk
言う,いう,say; tell
行く,いく,go
いる,いる,be; exist (animate)
入れる,いれる,put in; let in
歌う,うたう,sing
生まれる,うまれる,be born
売る,うる,sell
起きる,おきる,get up; stand up
置く,おく,put; place
送る,おくる,send; see off
押す,おす,push; press
覚える,おぼえる,memorize; remember
泳ぐ,およぐ,swim
降りる,おりる,get off; descend; dismount
終わる,おわる,end
買う,かう,buy
返す,かえす,give back; return
帰る,かえる,return home
掛かる,かかる,take; begin; hang
書く,かく,write
掛ける,かける, hang; sit; phone; risk
貸す,かす,lend
冠る,かぶる,put on; wear (on head)
借りる,かりる,borrow; rent; hire
消える,きえる,go out; vanish; be extinguished
聞く,きく,hear; listen; ask
切る,きる,cut
着る,きる,put on; wear
来る,くる,come
消す,けす,extinguish; turn off; erase; kill
答える,こたえる,answer
困る,こまる,be in trouble
咲く,さく,bloom; blossom
刺す,さす,point; stab; stick
死ぬ,しぬ,die
閉まる,しまる,be closed; be shut
閉める,しめる,close; shut
知る,しる,know
吸う,すう,inhale; smoke
住む,すむ,live; reside
座る,すわる,sit
出す,だす,extract; take out
立つ,たつ,stand up
頼む,たのむ,request; ask favor
食べる,たべる,eat
使う,つかう,use; operate
疲れる,つかれる,become tired
着く,つく,arrive
作る,つくる,make; build; create
点ける,つける,turn on; light
勤める,つとめる,work for; be employed by
出かける,でかける,go out; leave
飛ぶ,とぶ,jump; fly
止まる,とまる,stop
取る,とる,take
鳴く,なく,cry; sing
習う,ならう,learn
並ぶ,ならぶ,form a line; equal
並べる,ならべる,line up; list; order
なる,なる,become
脱ぐ,ぬぐ,take off clothes
寝る,ねる,go to bed; sleep
登る,のぼる,climb
飲む,のむ,drink
乗る,のる,board; ride
入る,はいる,enter
履く,はく,put on; wear (on feet; legs)
始まる,はじまる,begin; start
払う,はらう,pay
走る,はしる,run
働く,はたらく,work
話す,はなす,talk; speak; tell
張る,はる,stick; attach
晴れる,はれる,clear up; tidy
引く,ひく,pull
弾く,ひく,play (string instrument)
吹く,ふく,blow air
降る,ふる,fall from sky (rain; snow)
曲がる,まがる,turn; bend
待つ,まつ,wait
磨く,みがく,polish; brush
見せる,みせる,show
見る,みる,see; look; watch
持つ,もつ,have; hold; own
休む,やすむ,rest; sleep
呼ぶ,よぶ,call
読む,よむ,read
分かる,わかる,know; understand
忘れる,わすれる,forget
渡す,わたす,hand over
渡る,わたる,cross
やる,やる,do; give
する,する,do
